Trace, Start Freq(Hz), Stop Freq(Hz)
Trace-A, 25049442790, 25050442790

RBW(Hz), VBW(Hz), SWT(ms), ATT(dB)
3000, 3000, 66, 10

Detection, Trace Points
Pos & Neg, 10001

Ref Level(dBm), PreAmp
-10.00, Off

Storage Mode-A
Off

Wave Data(dBm)-A, A(neg)
-96.028, -96.165
-96.165, -96.317
-96.345, -96.532
-96.532, -96.792
-96.792, -97.050
-97.050, -97.389
-97.389, -97.716
-97.773, -98.139
-98.139, -98.606
-98.606, -99.042
-99.042, -99.590
-99.590, -100.096
-100.182, -100.724
-100.724, -101.389
-101.389, -101.986
-101.986, -102.706
-102.706, -103.334
-103.439, -104.062
-104.062, -104.763
-104.763, -105.320
-105.320, -105.888
-105.888, -106.285
-106.342, -106.622
-106.622, -106.813
-106.813, -106.866
-106.819, -106.866
-106.705, -106.819
-106.509, -106.680
-106.271, -106.509
-106.046, -106.271
-105.773, -106.046
-105.530, -105.773
-105.247, -105.490
-104.959, -105.247
-104.711, -104.959
-104.417, -104.711
-104.160, -104.417
-103.856, -104.116
-103.546, -103.856
-103.279, -103.546
-102.966, -103.279
-102.700, -102.966
-102.393, -102.655
-102.094, -102.393
-101.846, -102.094
-101.570, -101.846
-101.347, -101.570
-101.104, -101.311
-100.880, -101.104
-100.704, -100.880
-100.519, -100.704
-100.379, -100.519
-100.234, -100.356
-100.110, -100.234
-100.021, -100.110
-99.935, -100.021
-99.875, -99.935
-99.820, -99.865
-99.781, -99.820
-99.759, -99.781
-99.742, -99.759
-99.736, -99.742
-99.736, -99.736
-99.736, -99.744
-99.744, -99.754
-99.754, -99.767
-99.767, -99.783
-99.785, -99.800
-99.800, -99.822
-99.822, -99.842
-99.842, -99.865
-99.865, -99.891
-99.895, -99.923
-99.923, -99.964
-99.964, -100.004
-100.004, -100.060
-100.060, -100.119
-100.129, -100.198
-100.198, -100.294
-100.294, -100.390
-100.390, -100.517
-100.517, -100.642
-100.665, -100.805
-100.805, -100.989
-100.989, -101.162
-101.162, -101.382
-101.382, -101.585
-101.619, -101.835
-101.835, -102.098
-102.098, -102.331
-102.331, -102.610
-102.610, -102.846
-102.885, -103.118
-103.118, -103.377
-103.377, -103.586
-103.586, -103.805
-103.805, -103.971
-103.996, -104.135
-104.135, -104.264
-104.264, -104.352
-104.352, -104.428
-104.428, -104.475
-104.481, -104.516
-104.516, -104.550
-104.550, -104.580
-104.580, -104.623
-104.623, -104.669
-104.679, -104.743
-104.743, -104.839
-104.839, -104.940
-104.940, -105.077
-105.077, -105.209
-105.233, -105.374
-105.374, -105.537
-105.537, -105.662
-105.662, -105.771
-105.771, -105.815
-105.790, -105.817
-105.664, -105.790
-105.465, -105.664
-105.129, -105.465
-104.761, -105.129
-104.256, -104.693
-103.691, -104.256
-103.179, -103.691
-102.565, -103.179
-102.038, -102.565
-101.433, -101.951
-100.848, -101.433
-100.365, -100.848
-99.832, -100.365
-99.397, -99.832
-98.922, -99.328
-98.477, -98.922
-98.123, -98.477
-97.739, -98.123
-97.434, -97.739
-97.107, -97.384
-96.806, -97.107
-96.571, -96.806
-96.322, -96.571
-96.130, -96.322
-95.926, -96.098
-95.746, -95.926
-95.609, -95.746
-95.470, -95.609
-95.366, -95.470
-95.263, -95.351
-95.179, -95.263
-95.118, -95.179
-95.065, -95.118
-95.030, -95.065
-95.004, -95.026
-94.991, -95.004
-94.990, -94.991
-94.991, -95.000
-95.000, -95.017
-95.021, -95.047
-95.047, -95.085
-95.085, -95.124
-95.124, -95.176
-95.176, -95.225
-95.233, -95.285
-95.285, -95.351
-95.351, -95.407
-95.407, -95.473
-95.473, -95.530
-95.538, -95.593
-95.593, -95.653
-95.653, -95.700
-95.700, -95.749
-95.749, -95.786
-95.790, -95.820
-95.820, -95.847
-95.847, -95.864
-95.864, -95.877
-95.877, -95.881
-95.881, -95.883
-95.878, -95.881
-95.874, -95.878
-95.866, -95.874
-95.859, -95.866
-95.856, -95.859
-95.855, -95.856
-95.856, -95.862
-95.862, -95.877
-95.877, -95.896
-95.901, -95.931
-95.931, -95.976
-95.976, -96.027
-96.027, -96.098
-96.098, -96.170
-96.184, -96.266
-96.266, -96.375
-96.375, -96.477
-96.477, -96.605
-96.605, -96.719
-96.736, -96.851
-96.851, -96.982
-96.982, -97.086
-97.086, -97.191
-97.191, -97.266
-97.277, -97.325
-97.325, -97.351
-97.341, -97.351
-97.290, -97.341
-97.212, -97.290
-97.084, -97.196
-96.917, -97.084
-96.749, -96.917
-96.530, -96.749
-96.329, -96.530
-96.084, -96.294
-95.839, -96.084
-95.630, -95.839
-95.397, -95.630
-95.210, -95.397
-95.008, -95.180
-94.829, -95.008
-94.695, -94.829
-94.566, -94.695
-94.479, -94.566
-94.407, -94.467
-94.369, -94.407
-94.362, -94.369
-94.362, -94.389
-94.389, -94.440
-94.451, -94.535
-94.535, -94.670
-94.670, -94.816
-94.816, -95.025
-95.025, -95.237
-95.275, -95.524
-95.524, -95.853
-95.853, -96.170
-96.170, -96.579
-96.579, -96.962
-97.027, -97.443
-97.443, -97.959
-97.959, -98.420
-98.420, -98.970
-98.970, -99.438
-99.515, -99.956
-99.956, -100.412
-100.412, -100.726
-100.726, -100.971
-100.971, -101.055
-101.001, -101.058
-100.791, -101.001
-100.509, -100.791
-100.091, -100.509
-99.685, -100.091
-99.180, -99.615
-98.667, -99.180
-98.232, -98.667
-97.743, -98.232
-97.342, -97.743
-96.901, -97.277
-96.490, -96.901
-96.160, -96.490
-95.804, -96.160
-95.521, -95.804
-95.217, -95.476
-94.936, -95.217
-94.715, -94.936
-94.477, -94.715
-94.290, -94.477
-94.087, -94.259
-93.904, -94.087
-93.760, -93.904
-93.605, -93.760
-93.485, -93.605
-93.357, -93.466
-93.241, -93.357
-93.151, -93.241
-93.057, -93.151
-92.986, -93.057
-92.914, -92.975
-92.853, -92.914
-92.811, -92.853
-92.770, -92.811
-92.745, -92.770
-92.727, -92.742
-92.721, -92.727
-92.721, -92.725
-92.725, -92.742
-92.742, -92.769
-92.773, -92.811
-92.811, -92.867
-92.867, -92.926
-92.926, -93.011
-93.011, -93.097
-93.112, -93.210
-93.210, -93.341
-93.341, -93.466
-93.466, -93.629
-93.629, -93.785
-93.811, -93.981
-93.981, -94.198
-94.198, -94.399
-94.399, -94.652
-94.652, -94.884
-94.924, -95.175
-95.175, -95.485
-95.485, -95.767
-95.767, -96.114
-96.114, -96.428
-96.483, -96.812
-96.812, -97.215
-97.215, -97.574
-97.574, -98.009
-98.009, -98.392
-98.457, -98.852
-98.852, -99.320
-99.320, -99.727
-99.727, -100.200
-100.200, -100.604
-100.672, -101.068
-101.068, -101.516
-101.516, -101.884
-101.884, -102.286
-102.286, -102.604
-102.655, -102.941
-102.941, -103.240
-103.240, -103.463
-103.463, -103.687
-103.687, -103.849
-103.874, -104.009
-104.009, -104.141
-104.141, -104.239
-104.239, -104.338
-104.338, -104.414
-104.427, -104.495
-104.495, -104.571
-104.571, -104.631
-104.631, -104.697
-104.697, -104.748
-104.755, -104.798
-104.798, -104.834
-104.834, -104.851
-104.849, -104.853
-104.826, -104.849
-104.772, -104.820
-104.685, -104.772
-104.586, -104.685
-104.441, -104.586
-104.294, -104.441
-104.102, -104.268
-103.892, -104.102
-103.705, -103.892
-103.480, -103.705
-103.288, -103.480
-103.070, -103.256
-102.863, -103.070
-102.698, -102.863
-102.526, -102.698
-102.395, -102.526
-102.265, -102.375
-102.163, -102.265
-102.099, -102.163
-102.053, -102.099
-102.037, -102.053
-102.037, -102.048
-102.048, -102.093
-102.093, -102.156
-102.156, -102.260
-102.260, -102.375
-102.397, -102.536
-102.536, -102.725
-102.725, -102.909
-102.909, -103.143
-103.143, -103.357
-103.395, -103.620
-103.620, -103.887
-103.887, -104.114
-104.114, -104.366
-104.366, -104.565
-104.596, -104.767
-104.767, -104.927
-104.927, -105.025
-105.025, -105.089
-105.089, -105.100
-105.064, -105.097
-104.981, -105.064
-104.881, -104.981
-104.737, -104.881
-104.599, -104.737
-104.430, -104.575
-104.260, -104.430
-104.120, -104.260
-103.971, -104.120
-103.857, -103.971
-103.747, -103.840
-103.661, -103.747
-103.612, -103.661
-103.583, -103.612
-103.579, -103.583
-103.585, -103.613
-103.613, -103.677
-103.677, -103.758
-103.758, -103.885
-103.885, -104.021
-104.045, -104.208
-104.208, -104.430
-104.430, -104.643
-104.643, -104.919
-104.919, -105.176
-105.220, -105.496
-105.496, -105.837
-105.837, -106.140
-106.140, -106.498
-106.498, -106.808
-106.860, -107.163
-107.163, -107.504
-107.504, -107.774
-107.774, -108.059
-108.059, -108.271
-108.304, -108.473
-108.473, -108.620
-108.620, -108.700
-108.700, -108.742
-108.735, -108.744
-108.680, -108.729
-108.581, -108.680
-108.466, -108.581
-108.304, -108.466
-108.145, -108.304
-107.945, -108.119
-107.730, -107.945
-107.539, -107.730
-107.307, -107.539
-107.102, -107.307
-106.857, -107.067
-106.604, -106.857
-106.377, -106.604
-106.102, -106.377
-105.849, -106.102
-105.534, -105.806
-105.194, -105.534
-104.881, -105.194
-104.485, -104.881
-104.123, -104.485
-103.672, -104.061
-103.196, -103.672
-102.769, -103.196
-102.255, -102.769
-101.804, -102.255
-101.271, -101.727
-100.736, -101.271
-100.280, -100.736
-99.758, -100.280
-99.318, -99.758
-98.818, -99.245
-98.335, -98.818
-97.940, -98.335
-97.495, -97.940
-97.136, -97.495
-96.736, -97.077
-96.362, -96.736
-96.061, -96.362
-95.735, -96.061
-95.476, -95.735
-95.198, -95.434
-94.946, -95.198
-94.750, -94.946
-94.546, -94.750
-94.391, -94.546
-94.234, -94.367
-94.102, -94.234
-94.008, -94.102
-93.922, -94.008
-93.868, -93.922
-93.826, -93.860
-93.809, -93.826
-93.807, -93.811
-93.811, -93.836
-93.836, -93.876
-93.884, -93.945
-93.945, -94.035
-94.035, -94.129
-94.129, -94.261
-94.261, -94.391
-94.415, -94.564
-94.564, -94.758
-94.758, -94.944
-94.944, -95.179
-95.179, -95.400
-95.437, -95.677
-95.677, -95.979
-95.979, -96.256
-96.256, -96.603
-96.603, -96.919
-96.974, -97.311
-97.311, -97.731
-97.731, -98.112
-98.112, -98.584
-98.584, -99.010
-99.084, -99.535
-99.535, -100.085
-100.085, -100.574
-100.574, -101.164
-101.164, -101.677
-101.763, -102.272
-102.272, -102.846
-102.846, -103.299
-103.299, -103.754
-103.754, -104.056
-104.098, -104.280
-104.280, -104.347
-104.280, -104.347
-104.071, -104.280
-103.805, -104.071
-103.424, -103.755
-103.000, -103.424
-102.625, -103.000
-102.192, -102.625
-101.835, -102.192
-101.450, -101.779
-101.103, -101.450
-100.838, -101.103
-100.570, -100.838
-100.376, -100.570
-100.193, -100.347
-100.056, -100.193
-99.972, -100.056
-99.913, -99.972
-99.895, -99.913
-99.895, -99.911
-99.911, -99.964
-99.964, -100.033
-100.033, -100.144
-100.144, -100.257
-100.278, -100.409
-100.409, -100.574
-100.574, -100.719
-100.719, -100.885
-100.885, -101.018
-101.038, -101.152
-101.152, -101.253
-101.253, -101.308
-101.308, -101.329
-101.305, -101.329
-101.230, -101.298
-101.106, -101.230
-100.965, -101.106
-100.767, -100.965
-100.577, -100.767
-100.336, -100.544
-100.087, -100.336
-99.871, -100.087
-99.622, -99.871
-99.417, -99.622
-99.190, -99.383
-98.980, -99.190
-98.814, -98.980
-98.640, -98.814
-98.508, -98.640
-98.373, -98.487
-98.261, -98.373
-98.179, -98.261
-98.102, -98.179
-98.049, -98.102
-98.004, -98.043
-97.971, -98.004
-97.954, -97.971
-97.941, -97.954
-97.937, -97.941
-97.937, -97.937
-97.937, -97.942
-97.942, -97.948
-97.948, -97.956
-97.956, -97.964
-97.965, -97.973
-97.973, -97.982
-97.982, -97.990
-97.990, -98.001
-98.001, -98.013
-98.015, -98.031
-98.031, -98.054
-98.054, -98.079
-98.079, -98.119
-98.119, -98.160
-98.168, -98.220
-98.220, -98.294
-98.294, -98.369
