Trace, Start Freq(Hz), Stop Freq(Hz)
Trace-A, 25049442790, 25050442790

RBW(Hz), VBW(Hz), SWT(ms), ATT(dB)
3000, 3000, 66, 10

Detection, Trace Points
Pos & Neg, 10001

Ref Level(dBm), PreAmp
-10.00, Off

Storage Mode-A
Off

Wave Data(dBm)-A, A(neg)
-93.434, -93.536
-93.536, -93.639
-93.639, -93.771
-93.771, -93.902
-93.924, -94.068
-94.068, -94.253
-94.253, -94.426
-94.426, -94.644
-94.644, -94.846
-94.881, -95.100
-95.100, -95.373
-95.373, -95.623
-95.623, -95.933
-95.933, -96.214
-96.263, -96.562
-96.562, -96.931
-96.931, -97.263
-97.263, -97.673
-97.673, -98.040
-98.103, -98.492
-98.492, -98.965
-98.965, -99.388
-99.388, -99.905
-99.905, -100.363
-100.442, -100.920
-100.920, -101.499
-101.499, -102.011
-102.011, -102.625
-102.625, -103.166
-103.258, -103.812
-103.812, -104.468
-104.468, -105.038
-105.038, -105.706
-105.706, -106.272
-106.365, -106.919
-106.919, -107.531
-107.531, -108.009
-108.009, -108.480
-108.480, -108.779
-108.818, -108.962
-108.928, -108.976
-108.714, -108.928
-108.255, -108.714
-107.709, -108.255
-106.936, -107.606
-106.071, -106.936
-105.287, -106.071
-104.354, -105.287
-103.555, -104.354
-102.638, -103.422
-101.747, -102.638
-101.009, -101.747
-100.181, -101.009
-99.500, -100.181
-98.740, -99.390
-98.018, -98.740
-97.427, -98.018
-96.773, -97.427
-96.238, -96.773
-95.645, -96.151
-95.085, -95.645
-94.632, -95.085
-94.129, -94.632
-93.723, -94.129
-93.278, -93.658
-92.859, -93.278
-92.525, -92.859
-92.157, -92.525
-91.864, -92.157
-91.546, -91.818
-91.254, -91.546
-91.025, -91.254
-90.777, -91.025
-90.586, -90.777
-90.382, -90.556
-90.204, -90.382
-90.068, -90.204
-89.932, -90.068
-89.834, -89.932
-89.738, -89.818
-89.665, -89.738
-89.618, -89.665
-89.585, -89.618
-89.574, -89.585
-89.574, -89.579
-89.579, -89.605
-89.605, -89.644
-89.644, -89.706
-89.706, -89.777
-89.790, -89.876
-89.876, -89.994
-89.994, -90.109
-90.109, -90.259
-90.259, -90.400
-90.425, -90.580
-90.580, -90.771
-90.771, -90.947
-90.947, -91.161
-91.161, -91.351
-91.382, -91.578
-91.578, -91.810
-91.810, -92.009
-92.009, -92.240
-92.240, -92.433
-92.465, -92.651
-92.651, -92.858
-92.858, -93.022
-93.022, -93.198
-93.198, -93.334
-93.355, -93.472
-93.472, -93.588
-93.588, -93.669
-93.669, -93.744
-93.744, -93.791
-93.797, -93.830
-93.830, -93.852
-93.852, -93.860
-93.860, -93.862
-93.856, -93.860
-93.844, -93.854
-93.832, -93.844
-93.821, -93.832
-93.809, -93.821
-93.803, -93.809
-93.799, -93.801
-93.797, -93.799
-93.799, -93.803
-93.803, -93.811
-93.811, -93.821
-93.823, -93.834
-93.834, -93.848
-93.848, -93.860
-93.860, -93.872
-93.872, -93.878
-93.878, -93.880
-93.872, -93.880
-93.860, -93.872
-93.834, -93.860
-93.803, -93.834
-93.754, -93.797
-93.694, -93.754
-93.635, -93.694
-93.556, -93.635
-93.481, -93.556
-93.389, -93.468
-93.293, -93.389
-93.208, -93.293
-93.110, -93.208
-93.030, -93.110
-92.941, -93.017
-92.859, -92.941
-92.798, -92.859
-92.738, -92.798
-92.696, -92.738
-92.663, -92.690
-92.648, -92.663
-92.646, -92.649
-92.649, -92.669
-92.669, -92.702
-92.710, -92.762
-92.762, -92.844
-92.844, -92.933
-92.933, -93.058
-93.058, -93.186
-93.208, -93.358
-93.358, -93.554
-93.554, -93.742
-93.742, -93.988
-93.988, -94.216
-94.256, -94.505
-94.505, -94.819
-94.819, -95.106
-95.106, -95.463
-95.463, -95.783
-95.837, -96.173
-96.173, -96.579
-96.579, -96.935
-96.935, -97.355
-97.355, -97.717
-97.777, -98.134
-98.134, -98.537
-98.537, -98.866
-98.866, -99.221
-99.221, -99.495
-99.537, -99.769
-99.769, -99.992
-99.992, -100.138
-100.138, -100.252
-100.252, -100.307
-100.311, -100.321
-100.286, -100.320
-100.226, -100.286
-100.125, -100.226
-100.017, -100.125
-99.873, -99.998
-99.717, -99.873
-99.575, -99.717
-99.406, -99.575
-99.260, -99.406
-99.089, -99.236
-98.922, -99.089
-98.780, -98.922
-98.619, -98.780
-98.484, -98.619
-98.331, -98.461
-98.183, -98.331
-98.061, -98.183
-97.922, -98.061
-97.807, -97.922
-97.678, -97.788
-97.552, -97.678
-97.449, -97.552
-97.333, -97.449
-97.238, -97.333
-97.132, -97.222
-97.029, -97.132
-96.946, -97.029
-96.853, -96.946
-96.777, -96.853
-96.692, -96.765
-96.612, -96.692
-96.547, -96.612
-96.477, -96.547
-96.419, -96.477
-96.357, -96.410
-96.297, -96.357
-96.250, -96.297
-96.201, -96.250
-96.160, -96.201
-96.116, -96.153
-96.076, -96.116
-96.046, -96.076
-96.014, -96.046
-95.989, -96.014
-95.965, -95.986
-95.947, -95.965
-95.934, -95.947
-95.925, -95.934
-95.921, -95.925
-95.921, -95.923
-95.923, -95.933
-95.933, -95.947
-95.947, -95.973
-95.973, -96.002
-96.007, -96.045
-96.045, -96.098
