Trace, Start Freq(Hz), Stop Freq(Hz)
Trace-A, 25049442790, 25050442790

RBW(Hz), VBW(Hz), SWT(ms), ATT(dB)
3000, 3000, 66, 10

Detection, Trace Points
Pos & Neg, 10001

Ref Level(dBm), PreAmp
-10.00, Off

Storage Mode-A
Off

Wave Data(dBm)-A, A(neg)
-96.400, -96.405
-96.377, -96.403
-96.331, -96.377
-96.252, -96.320
-96.155, -96.252
-96.061, -96.155
-95.942, -96.061
-95.837, -95.942
-95.713, -95.818
-95.593, -95.713
-95.495, -95.593
-95.390, -95.495
-95.307, -95.390
-95.225, -95.295
-95.156, -95.225
-95.109, -95.156
-95.071, -95.109
-95.051, -95.071
-95.046, -95.050
-95.046, -95.059
-95.059, -95.085
-95.085, -95.134
-95.134, -95.191
-95.202, -95.275
-95.275, -95.379
-95.379, -95.483
-95.483, -95.621
-95.621, -95.756
-95.780, -95.928
-95.928, -96.118
-96.118, -96.294
-96.294, -96.512
-96.512, -96.711
-96.746, -96.956
-96.956, -97.208
-97.208, -97.434
-97.434, -97.703
-97.703, -97.937
-97.977, -98.212
-98.212, -98.484
-98.484, -98.714
-98.714, -98.976
-98.976, -99.190
-99.224, -99.426
-99.426, -99.645
-99.645, -99.814
-99.814, -99.990
-99.990, -100.121
-100.140, -100.244
-100.244, -100.341
-100.341, -100.400
-100.400, -100.442
-100.442, -100.454
-100.443, -100.454
-100.407, -100.443
-100.356, -100.407
-100.278, -100.356
-100.196, -100.278
-100.087, -100.181
-99.966, -100.087
-99.853, -99.966
-99.719, -99.853
-99.600, -99.719
-99.462, -99.579
-99.327, -99.462
-99.214, -99.327
-99.091, -99.214
-98.993, -99.091
-98.890, -98.978
-98.799, -98.890
-98.733, -98.799
-98.670, -98.733
-98.628, -98.670
-98.594, -98.622
-98.576, -98.594
-98.573, -98.576
-98.573, -98.584
-98.584, -98.605
-98.609, -98.640
-98.640, -98.687
-98.687, -98.734
-98.734, -98.791
-98.791, -98.843
-98.850, -98.898
-98.898, -98.946
-98.946, -98.973
-98.973, -98.988
-98.978, -98.988
-98.939, -98.975
-98.863, -98.939
-98.768, -98.863
-98.621, -98.768
-98.466, -98.621
-98.254, -98.437
-98.013, -98.254
-97.788, -98.013
-97.510, -97.788
-97.265, -97.510
-96.976, -97.224
-96.688, -96.976
-96.446, -96.688
-96.177, -96.446
-95.957, -96.177
-95.717, -95.921
-95.498, -95.717
-95.327, -95.498
-95.152, -95.327
-95.020, -95.152
-94.890, -95.000
-94.787, -94.890
-94.721, -94.787
-94.668, -94.721
-94.645, -94.668
-94.641, -94.645
-94.645, -94.672
-94.672, -94.719
-94.719, -94.801
-94.801, -94.895
-94.913, -95.031
-95.031, -95.198
-95.198, -95.365
-95.365, -95.587
-95.587, -95.801
-95.840, -96.081
-96.081, -96.389
