Trace, Start Freq(Hz), Stop Freq(Hz)
Trace-A, 25049442790, 25050442790

RBW(Hz), VBW(Hz), SWT(ms), ATT(dB)
3000, 3000, 66, 10

Detection, Trace Points
Pos & Neg, 10001

Ref Level(dBm), PreAmp
-10.00, Off

Storage Mode-A
Off

Wave Data(dBm)-A, A(neg)
-97.571, -97.597
-97.566, -97.571
-97.567, -97.587
-97.587, -97.622
-97.629, -97.682
-97.682, -97.765
-97.765, -97.853
-97.853, -97.971
-97.971, -98.087
-98.108, -98.239
-98.239, -98.406
-98.406, -98.559
-98.559, -98.748
-98.748, -98.917
-98.946, -99.121
-99.121, -99.328
-99.328, -99.507
-99.507, -99.713
-99.713, -99.883
-99.911, -100.073
-100.073, -100.244
-100.244, -100.376
-100.376, -100.509
-100.509, -100.601
-100.614, -100.680
-100.680, -100.728
-100.728, -100.743
-100.731, -100.743
-100.697, -100.731
-100.632, -100.690
-100.542, -100.632
-100.449, -100.542
-100.327, -100.449
-100.212, -100.327
-100.071, -100.193
-99.923, -100.071
-99.796, -99.923
-99.649, -99.796
-99.522, -99.649
-99.378, -99.500
-99.236, -99.378
-99.118, -99.236
-98.984, -99.118
-98.871, -98.984
-98.742, -98.854
-98.613, -98.742
-98.503, -98.613
-98.373, -98.503
-98.259, -98.373
-98.123, -98.240
-97.982, -98.123
-97.856, -97.982
-97.703, -97.856
-97.566, -97.703
-97.400, -97.543
-97.227, -97.400
-97.075, -97.227
-96.891, -97.075
-96.732, -96.891
-96.543, -96.705
-96.355, -96.543
-96.196, -96.355
-96.010, -96.196
-95.858, -96.010
-95.685, -95.833
-95.521, -95.685
-95.390, -95.521
-95.247, -95.390
-95.134, -95.247
-95.017, -95.117
-94.914, -95.017
-94.839, -94.914
-94.767, -94.839
-94.719, -94.767
-94.680, -94.712
-94.658, -94.680
-94.654, -94.658
-94.654, -94.668
-94.668, -94.693
-94.699, -94.740
-94.740, -94.806
-94.806, -94.879
-94.879, -94.980
-94.980, -95.081
-95.100, -95.217
-95.217, -95.372
-95.372, -95.518
-95.518, -95.707
-95.707, -95.883
-95.913, -96.104
-96.104, -96.345
-96.345, -96.564
-96.564, -96.836
-96.836, -97.081
-97.126, -97.383
-97.383, -97.700
-97.700, -97.983
-97.983, -98.324
-98.324, -98.625
-98.676, -98.986
-98.986, -99.353
-99.353, -99.669
-99.669, -100.039
-100.039, -100.354
-100.405, -100.712
-100.712, -101.055
-101.055, -101.331
-101.331, -101.629
-101.629, -101.857
-101.894, -102.086
-102.086, -102.270
-102.270, -102.391
-102.391, -102.486
-102.486, -102.532
-102.536, -102.545
-102.523, -102.545
-102.481, -102.523
-102.413, -102.481
-102.344, -102.413
-102.262, -102.333
-102.183, -102.262
-102.124, -102.183
-102.071, -102.124
-102.045, -102.071
-102.037, -102.042
-102.037, -102.058
-102.058, -102.103
-102.103, -102.187
-102.187, -102.284
